ID,REFERENCE,TITLE,TYPE,STATE,PRIORITY,CATEGORY,SUBCATEGORY_ID,DESCRIPTION,CREATION_DATE,RESOLUTION_DUE_DATE,CATEGORY_ID,SYMPTOM_ID,PREVIOUS_STATE_ID,CREATION_TEAM,CHANGE_ID_N,PUBLIC_FLAG,RESOLUTION_SLA_MINUTE,CREATION_TEAM_PUBLIC_ID,URGENCY_ID,URGENCY,IMPACT_ID,ORIGIN,CAUSE_TYPE,CAUSE_TYPE_ID,SUBCATEGORY_PUBLIC_ID,RESOLUTION_ESTIMATED_DATE,CHANGE_USER_INTERNAL_FLAG,SLA_MINUTE,PREVIOUS_STATE,SERVICE_ID_COUNT_BY_CLIENT,ORIGINAL_TICKET_ID,START_DATE,TAG,AUTOMATIC_FLAG,RESOLUTION_SLA_UNITY,CREATION_USER_NAME,PRIORITY_ID,STATE_ID,CHANGE_USER_ID,STATE_DATE,CHANGE_DATE,PREVIOUS_RESOLUTION_ESTIMATED_DATE,IMPACT,TYPE_ID,SYMPTOM_PUBLIC_ID,IMPACT_PUBLIC_ID,CREATION_USER_ID,CREATION_USER_INTERNAL_FLAG,AUTOMATIC_CREATION_FLAG,CHANGE_TEAM_ID,SUBCATEGORY,PRIORITY_PUBLIC_ID,ENTITY,MAX_ID,HIERARQ_ESCALATION,CHANGE_ID,ORIGIN_ID,OBSERVATIONS,CHANGE_USER_NAME,SYMPTOM,PREVIOUS_SERVICE_ID_COUNT_BY_CLIENT,CATEGORY_PUBLIC_ID,CHANGE_TEAM,TIM_ASSOCIATED_TICKETS
3736097,,ALARME DE REDE - Incidente 8,Incidente,Em Progresso,P1,Avaria Cliente,3,Teste Open Labs - Mock 8,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,8/1000,1,1440,TIM,1,1-Crítico,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,1,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P1,TTK,3736098,0,1219537,9,Teste Open Labs - Mock 8,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000008"",""TIM_ASSOCIATED_TICKET_STATUS"":""NOVO""}]"
3736098,,ALARME DE REDE - Incidente 9,Incidente,Fechado,P2,Avaria Cliente,3,Teste Open Labs - Mock 9,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,9/1000,1,1440,TIM,2,2-Alto,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,2,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P2,TTK,3736099,0,1219538,9,Teste Open Labs - Mock 9,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000009"",""TIM_ASSOCIATED_TICKET_STATUS"":""EM_ANDAMENTO""}]"
3736099,,ALARME DE REDE - Incidente 10,Incidente,Em Progresso,P3,Avaria Cliente,3,Teste Open Labs - Mock 10,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,10/1000,1,1440,TIM,3,3-Médio,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,3,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P3,TTK,3736100,0,1219539,9,Teste Open Labs - Mock 10,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000010"",""TIM_ASSOCIATED_TICKET_STATUS"":""NOVO""}]"
3736100,,ALARME DE REDE - Incidente 11,Incidente,Aberto,P4,Avaria Cliente,3,Teste Open Labs - Mock 11,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,11/1000,1,1440,TIM,4,4-Baixo,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,4,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P4,TTK,3736101,0,1219540,9,Teste Open Labs - Mock 11,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000011"",""TIM_ASSOCIATED_TICKET_STATUS"":""EM_ANDAMENTO""}]"
3736101,,ALARME DE REDE - Incidente 12,Incidente,Fechado,P1,Avaria Cliente,3,Teste Open Labs - Mock 12,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,12/1000,1,1440,TIM,1,1-Crítico,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,1,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P1,TTK,3736102,0,1219541,9,Teste Open Labs - Mock 12,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000012"",""TIM_ASSOCIATED_TICKET_STATUS"":""NOVO""}]"
3736102,,ALARME DE REDE - Incidente 13,Incidente,Aberto,P2,Avaria Cliente,3,Teste Open Labs - Mock 13,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,13/1000,1,1440,TIM,2,2-Alto,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,2,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P2,TTK,3736103,0,1219542,9,Teste Open Labs - Mock 13,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000013"",""TIM_ASSOCIATED_TICKET_STATUS"":""EM_ANDAMENTO""}]"
3736103,,ALARME DE REDE - Incidente 14,Incidente,Em Progresso,P3,Avaria Cliente,3,Teste Open Labs - Mock 14,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,14/1000,1,1440,TIM,3,3-Médio,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,3,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P3,TTK,3736104,0,1219543,9,Teste Open Labs - Mock 14,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000014"",""TIM_ASSOCIATED_TICKET_STATUS"":""NOVO""}]"
3736104,,ALARME DE REDE - Incidente 15,Incidente,Fechado,P4,Avaria Cliente,3,Teste Open Labs - Mock 15,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,15/1000,1,1440,TIM,4,4-Baixo,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,4,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P4,TTK,3736105,0,1219544,9,Teste Open Labs - Mock 15,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000015"",""TIM_ASSOCIATED_TICKET_STATUS"":""EM_ANDAMENTO""}]"
3736105,,ALARME DE REDE - Incidente 16,Incidente,Em Progresso,P1,Avaria Cliente,3,Teste Open Labs - Mock 16,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,16/1000,1,1440,TIM,1,1-Crítico,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,1,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P1,TTK,3736106,0,1219545,9,Teste Open Labs - Mock 16,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000016"",""TIM_ASSOCIATED_TICKET_STATUS"":""NOVO""}]"
3736106,,ALARME DE REDE - Incidente 17,Incidente,Aberto,P2,Avaria Cliente,3,Teste Open Labs - Mock 17,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4,7,2,TIM,17/1000,1,1440,TIM,2,2-Alto,5,API Management,Teste,1,Avaria Cliente - FTTH,2025-10-11T11:05:11.000-03:00,1,1440,Aberto,{},Cliente,2025-10-10T11:05:11.000-03:00,BLUEPHONE,1,horas lineares,API Management,2,2,395,2025-10-10T11:05:12.000-03:00,2025-10-10T11:05:12.000-03:00,2025-10-11T11:05:11.000-03:00,4-Menor,1,Outro,4-Menor,395,1,1,38,Avaria Cliente - FTTH,P2,TTK,3736107,0,1219546,9,Teste Open Labs - Mock 17,API Management,Outro,{},ALARME DE REDE,TIM,"[{""TIM_ASSOCIATED_TICKET_REFERENCE"":""EVE251000000017"",""TIM_ASSOCIATED_TICKET_STATUS"":""EM_ANDAMENTO""}]"
